"Anonymous","http://imslp.org /wiki/Category:Anonymous"
"Various","http://imslp.org /wiki/Category:Various"
"Folklore, Costa Rica","http://imslp.org /wiki/Category:Folklore,_Costa_Rica"
"Welsh Folk Music, 18th Century","http://imslp.org /wiki/Category:Welsh_Folk_Music,_18th_Century"
"Ancient Greek","http://imslp.org /wiki/Category:Ancient_Greek"
"Finnish Folk Music","http://imslp.org /wiki/Category:Finnish_Folk_Music"
"Japanese Folk Music","http://imslp.org /wiki/Category:Japanese_Folk_Music"
"Shōka, Japanese school song","http://imslp.org /wiki/Category:Sh%C5%8Dka,_Japanese_school_song"
"Folk Songs, Jewish","http://imslp.org /wiki/Category:Folk_Songs,_Jewish"
"Folk Songs, Scottish","http://imslp.org /wiki/Category:Folk_Songs,_Scottish"
"Folk Songs, French","http://imslp.org /wiki/Category:Folk_Songs,_French"
"Folk Songs, Latvian","http://imslp.org /wiki/Category:Folk_Songs,_Latvian"
"Folk Songs, Danish","http://imslp.org /wiki/Category:Folk_Songs,_Danish"
"Greek Folk Music","http://imslp.org /wiki/Category:Greek_Folk_Music"
"Traditional","http://imslp.org /wiki/Category:Traditional"
"A., Jag","http://imslp.org /wiki/Category:A.,_Jag"
"Abbatini, Antonio Maria","http://imslp.org /wiki/Category:Abbatini,_Antonio_Maria"
"Abbiate, Louis","http://imslp.org /wiki/Category:Abbiate,_Louis"
"Abbott, Simon Alexander","http://imslp.org /wiki/Category:Abbott,_Simon_Alexander"
"Abel, Carl Friedrich","http://imslp.org /wiki/Category:Abel,_Carl_Friedrich"
"Abel, Ludwig","http://imslp.org /wiki/Category:Abel,_Ludwig"
"Abela, Placido","http://imslp.org /wiki/Category:Abela,_Placido"
"Abelardo, Nicanor","http://imslp.org /wiki/Category:Abelardo,_Nicanor"
"Abert, Johann Joseph","http://imslp.org /wiki/Category:Abert,_Johann_Joseph"
"Abesser, Edmund","http://imslp.org /wiki/Category:Abesser,_Edmund"
"Abing","http://imslp.org /wiki/Category:Abing"
"Abos, Girolamo","http://imslp.org /wiki/Category:Abos,_Girolamo"
"Abramson, Joshua M.","http://imslp.org /wiki/Category:Abramson,_Joshua_M."
"Abril Tirado, Pedro","http://imslp.org /wiki/Category:Abril_Tirado,_Pedro"
"Abt, Franz","http://imslp.org /wiki/Category:Abt,_Franz"
"Accolay, Jean-Baptiste","http://imslp.org /wiki/Category:Accolay,_Jean-Baptiste"
"Achron, Joseph","http://imslp.org /wiki/Category:Achron,_Joseph"
"Acosta, Paul d'","http://imslp.org /wiki/Category:Acosta,_Paul_d%27"
"Adam, Adolphe","http://imslp.org /wiki/Category:Adam,_Adolphe"
"Adam, Johann","http://imslp.org /wiki/Category:Adam,_Johann"
"Adams I, Thomas","http://imslp.org /wiki/Category:Adams_I,_Thomas"
"Adams II, Thomas","http://imslp.org /wiki/Category:Adams_II,_Thomas"
"Adams, E. Franklin","http://imslp.org /wiki/Category:Adams,_E._Franklin"
"Adams, G","http://imslp.org /wiki/Category:Adams,_G"
"Adams, Mrs. Crosby","http://imslp.org /wiki/Category:Adams,_Mrs._Crosby"
"Ademollo, Alessandro","http://imslp.org /wiki/Category:Ademollo,_Alessandro"
"Adgate, Andrew","http://imslp.org /wiki/Category:Adgate,_Andrew"
"Adiego Navarro, Tomás","http://imslp.org /wiki/Category:Adiego_Navarro,_Tom%C3%A1s"
"Adler, Bernard","http://imslp.org /wiki/Category:Adler,_Bernard"
"Adlgasser, Anton Cajetan","http://imslp.org /wiki/Category:Adlgasser,_Anton_Cajetan"
"Adriaenssen, Emanuel","http://imslp.org /wiki/Category:Adriaenssen,_Emanuel"
"Adrianus, Gerard Nathanael","http://imslp.org /wiki/Category:Adrianus,_Gerard_Nathanael"
"Adson, John","http://imslp.org /wiki/Category:Adson,_John"
"Aerlyn-Crook, Jesse","http://imslp.org /wiki/Category:Aerlyn-Crook,_Jesse"
"Afanasyev, Nikolay","http://imslp.org /wiki/Category:Afanasyev,_Nikolay"
"Agazzari, Agostino","http://imslp.org /wiki/Category:Agazzari,_Agostino"
"Agincour, François d'","http://imslp.org /wiki/Category:Agincour,_Fran%C3%A7ois_d%27"
"Agnesi, Maria Teresa","http://imslp.org /wiki/Category:Agnesi,_Maria_Teresa"
"Agnew, Roy","http://imslp.org /wiki/Category:Agnew,_Roy"
"Agostini, Paolo","http://imslp.org /wiki/Category:Agostini,_Paolo"
"Agrell, Johan","http://imslp.org /wiki/Category:Agrell,_Johan"
"Agresta, Agostino","http://imslp.org /wiki/Category:Agresta,_Agostino"
"Agricola, Alexander","http://imslp.org /wiki/Category:Agricola,_Alexander"
"Agricola, Martin","http://imslp.org /wiki/Category:Agricola,_Martin"
"Aguado, Dionisio","http://imslp.org /wiki/Category:Aguado,_Dionisio"
"Aguilar, Emanuel","http://imslp.org /wiki/Category:Aguilar,_Emanuel"
"Aguilera de Heredia, Sebastián","http://imslp.org /wiki/Category:Aguilera_de_Heredia,_Sebasti%C3%A1n"
"Aguirre, Julian","http://imslp.org /wiki/Category:Aguirre,_Julian"
"Ahlborn, Alfred","http://imslp.org /wiki/Category:Ahlborn,_Alfred"
"Ahle, Johann Rudolf","http://imslp.org /wiki/Category:Ahle,_Johann_Rudolf"
"Åhlström, Olof","http://imslp.org /wiki/Category:%C3%85hlstr%C3%B6m,_Olof"
"Aichinger, Gregor","http://imslp.org /wiki/Category:Aichinger,_Gregor"
"Aimon, Léopold","http://imslp.org /wiki/Category:Aimon,_L%C3%A9opold"
"Aix, Pascal d'","http://imslp.org /wiki/Category:Aix,_Pascal_d%27"
"Aizberg, Ilya","http://imslp.org /wiki/Category:Aizberg,_Ilya"
"Akabuogu, Chukwudimma","http://imslp.org /wiki/Category:Akabuogu,_Chukwudimma"
"Akimenko, Theodore","http://imslp.org /wiki/Category:Akimenko,_Theodore"
"Aksyonov, Semyon","http://imslp.org /wiki/Category:Aksyonov,_Semyon"
"Alain, Jehan","http://imslp.org /wiki/Category:Alain,_Jehan"
"Alais, Juan","http://imslp.org /wiki/Category:Alais,_Juan"
"Alanus, Johannes","http://imslp.org /wiki/Category:Alanus,_Johannes"
"Alard, Jean Delphin","http://imslp.org /wiki/Category:Alard,_Jean_Delphin"
"Alary, Georges","http://imslp.org /wiki/Category:Alary,_Georges"
"Alary, Giulio","http://imslp.org /wiki/Category:Alary,_Giulio"
"Alassio, Serafino","http://imslp.org /wiki/Category:Alassio,_Serafino"
"Albéniz, Isaac","http://imslp.org /wiki/Category:Alb%C3%A9niz,_Isaac"
"Alberdi, Juan Bautista","http://imslp.org /wiki/Category:Alberdi,_Juan_Bautista"
"Albergati, Pirro Capacelli Conte","http://imslp.org /wiki/Category:Albergati,_Pirro_Capacelli_Conte"
"Alberstoetter, Carl","http://imslp.org /wiki/Category:Alberstoetter,_Carl"
"Albert, Charles d'","http://imslp.org /wiki/Category:Albert,_Charles_d%27"
"Albert, Eugen d'","http://imslp.org /wiki/Category:Albert,_Eugen_d%27"
"Albert, Heinrich (d. 1651)","http://imslp.org /wiki/Category:Albert,_Heinrich_(d._1651)"
"Albert, Heinrich (d. 1950)","http://imslp.org /wiki/Category:Albert,_Heinrich_(d._1950)"
"Alberti, Domenico","http://imslp.org /wiki/Category:Alberti,_Domenico"
"Alberti, Giuseppe Matteo","http://imslp.org /wiki/Category:Alberti,_Giuseppe_Matteo"
"Alberti, Innocentio","http://imslp.org /wiki/Category:Alberti,_Innocentio"
"Albicastro, Henricus","http://imslp.org /wiki/Category:Albicastro,_Henricus"
"Albinoni, Tomaso","http://imslp.org /wiki/Category:Albinoni,_Tomaso"
"Albrecht of Prussia, Prince Joachim","http://imslp.org /wiki/Category:Albrecht_of_Prussia,_Prince_Joachim"
"Albrecht, Hartwig","http://imslp.org /wiki/Category:Albrecht,_Hartwig"
"Albrecht, Ludwig","http://imslp.org /wiki/Category:Albrecht,_Ludwig"
"Albrechtsberger, Johann Georg","http://imslp.org /wiki/Category:Albrechtsberger,_Johann_Georg"
"Albrici, Vincenzo","http://imslp.org /wiki/Category:Albrici,_Vincenzo"
"Alburger, Mark","http://imslp.org /wiki/Category:Alburger,_Mark"
"Alcock Jr., John","http://imslp.org /wiki/Category:Alcock_Jr.,_John"
"Alcock Sr., John","http://imslp.org /wiki/Category:Alcock_Sr.,_John"
"Alday, François","http://imslp.org /wiki/Category:Alday,_Fran%C3%A7ois"
"Aldrich, Perley Dunn","http://imslp.org /wiki/Category:Aldrich,_Perley_Dunn"
"Aldrovandini, Giuseppe Antonio Vincenzo","http://imslp.org /wiki/Category:Aldrovandini,_Giuseppe_Antonio_Vincenzo"
"Alejandre Prada, Manuel","http://imslp.org /wiki/Category:Alejandre_Prada,_Manuel"
"Alenev, Yevgeny","http://imslp.org /wiki/Category:Alenev,_Yevgeny"
"Aleotti, Vittoria","http://imslp.org /wiki/Category:Aleotti,_Vittoria"
"Aletter, Wilhelm","http://imslp.org /wiki/Category:Aletter,_Wilhelm"
"Alexander, Joseph","http://imslp.org /wiki/Category:Alexander,_Joseph"
"Alexanian, Diran","http://imslp.org /wiki/Category:Alexanian,_Diran"
"Alfano, Franco","http://imslp.org /wiki/Category:Alfano,_Franco"
"Alferaki, Achilles","http://imslp.org /wiki/Category:Alferaki,_Achilles"
"Alford, Kenneth J.","http://imslp.org /wiki/Category:Alford,_Kenneth_J."
"Alfvén, Hugo","http://imslp.org /wiki/Category:Alfv%C3%A9n,_Hugo"
"Aliani, Nicola","http://imslp.org /wiki/Category:Aliani,_Nicola"
"Alió, Francisco","http://imslp.org /wiki/Category:Ali%C3%B3,_Francisco"
"Aliseda, Jerónimo de","http://imslp.org /wiki/Category:Aliseda,_Jer%C3%B3nimo_de"
"Alkan, Charles-Valentin","http://imslp.org /wiki/Category:Alkan,_Charles-Valentin"
"Alkan, Maxime","http://imslp.org /wiki/Category:Alkan,_Maxime"
"Alkan, Napoléon","http://imslp.org /wiki/Category:Alkan,_Napol%C3%A9on"
"Allaga, Géza","http://imslp.org /wiki/Category:Allaga,_G%C3%A9za"
"Allegri, Gregorio","http://imslp.org /wiki/Category:Allegri,_Gregorio"
"Allegri, Lorenzo","http://imslp.org /wiki/Category:Allegri,_Lorenzo"
"Allen, Euphemia","http://imslp.org /wiki/Category:Allen,_Euphemia"
"Allen, Nathan Hale","http://imslp.org /wiki/Category:Allen,_Nathan_Hale"
"Allen, Paul Hastings","http://imslp.org /wiki/Category:Allen,_Paul_Hastings"
"Allende, Pedro Humberto","http://imslp.org /wiki/Category:Allende,_Pedro_Humberto"
"Allier, Gabriel","http://imslp.org /wiki/Category:Allier,_Gabriel"
"Allison, Richard","http://imslp.org /wiki/Category:Allison,_Richard"
"Almeder, Hugo","http://imslp.org /wiki/Category:Almeder,_Hugo"
"Almenräder, Carl","http://imslp.org /wiki/Category:Almenr%C3%A4der,_Carl"
"Alnæs, Eyvind","http://imslp.org /wiki/Category:Aln%C3%A6s,_Eyvind"
"Aloiz, Vladislav","http://imslp.org /wiki/Category:Aloiz,_Vladislav"
"Alpaerts, Flor","http://imslp.org /wiki/Category:Alpaerts,_Flor"
"Alphonse, Maxime","http://imslp.org /wiki/Category:Alphonse,_Maxime"
"Alsuyet, Claudio","http://imslp.org /wiki/Category:Alsuyet,_Claudio"
"Altenburg, Johann Ernst","http://imslp.org /wiki/Category:Altenburg,_Johann_Ernst"
"Altenburg, Michael","http://imslp.org /wiki/Category:Altenburg,_Michael"
"Altès, Ernest Eugène","http://imslp.org /wiki/Category:Alt%C3%A8s,_Ernest_Eug%C3%A8ne"
"Altnikol, Johann Christoph","http://imslp.org /wiki/Category:Altnikol,_Johann_Christoph"
"Álvarez, Carlos","http://imslp.org /wiki/Category:%C3%81lvarez,_Carlos"
"Alvarez, Fermin María","http://imslp.org /wiki/Category:Alvarez,_Fermin_Mar%C3%ADa"
"Alyabyev, Aleksandr","http://imslp.org /wiki/Category:Alyabyev,_Aleksandr"
"Amadeo, Gaetano","http://imslp.org /wiki/Category:Amadeo,_Gaetano"
